"464627623,2026-07-17T07:06:40Z,1405/04/26 10:36,Aria tse,aria323,twit,#وگردش \nجنگ هیچ تاثیری بر این سهم ندارد در روند پرقدرت صعودی هست"
"464627613,2026-07-17T07:04:41Z,1405/04/26 10:34,حسن,abdolrezaei,twit,#دی به گزارش روابط عمومی بانک دی، بخش عمده این افزایش درآمد از محل درآمدهای تسهیلاتی حاصل شده که رشد ۱۷۸ درصدی را نسبت به سال قبل تجربه کرده است."
"464627608,2026-07-17T07:04:08Z,1405/04/26 10:34,سهامدار مسدود شده,sahamdarmasdood,twit,#شگستر \nنکته بسیار مهم در گزارش خرداد ماه (شیمی بافت) شرکت تولیدکننده ی اکتان افزای mtbe چیست؟\nنرخ فروش mtbe به پالایشگاه های بنزین ساز که در اردیبشهت ماه کیلویی ۱۳۸ هزار تومان بوده در خرداد ماه یکباره دوبرابر شده و به ۲۷۰هزار تومان رسیده و طی اطلاعی که اخیرا گرفتم در تیرماه هم افزایش نرخ داشته و به بالای ۳۵۰هزار تومن رسیده\nبالاخره زمانی فرا رسیده که صنعت و بازار پی به اهمیت جایگزینی بیواتانول به جای mtbe برده است و قطعا الان توجیه داره خود پالایشگاهها در تامین مالی پروژه باشت سرمایه گذاری کرده و به سرعت وارد فاز عملیاتیش کنند \nدر گزارش فروش تیرماه شگستر نرخ فروش اتانول را باید بالای ۳۰۰ هزار تومن درج کند که با تولید ۵ همت سود خالص pe  شرکت را به زیر یک واحد تنزیل خواهد داد\nبررسی ریسکهای موجود :\n۱- خطر آسیب در جنگ ( تجهیزات شرکت بیمه شده است و در حال حاضر کرمانشاهی که ۱۵ همت و باشتی که ۸ همت ارزش تجهیزات دارند داره به ۴ همت در بورس معاملع میشه بنابراین اگر کرمانشاه با موشک نابود بشه هم قیمت باشت بالای ارزش فعلی مارکت شگستر خواهد بود و ریسک اصلاح قیمت نداره و فقط ریسک هزینه فرصت موجوده)\n۲- تامین مداوم ماده اولیه ذرت از بنادر جنوب ( مسیر جایگزین واردات غلات از روسیه هموار است و ماده جایگزین ملاس هم در دسترس است)\n۳- قطع برق و گاز ( با توجه به استراتژیک بودن محصول و نیاز کشور به بنزین  شگستر هم در گروه صنایع استثنا قرار خواهد گرفت که شامل معافیت قطع برق و گاز خواهد شد و حتی میتونه باعث افزایش ظرفیت تولیدش بشه)"
"464618204,2026-07-16T12:34:44Z,1405/04/25 16:04,خلیج فارس,persiangulf1403,retwit,#شاخص_بورس #وبملت #خودرو \n\nدوسال به بهانه سایه جنگ دامنه نوسان را ۳ درصد کردند تا کمر سهامداران را بشکنند و پولها را در جیب دانه درشت ها بریزند ، حالا که جنگ شده عین خیالشان هم نیست !! \n\nمگر دولتی که خودش سیگنال طلا و دلار میدهد به فکر بورس است ؟!!! هفته بعد به مراتب جنگ شدیدتر خواهد شد و عرضه ها به مراتب افزایش خواهند یافت !! هرچه دادند را چند برابرش از دماغ سهامداران میکشند بیرون\n\nاگر در پازل دشمن بازی نمی کنید این خرابشده را ببندید !! اگر نمی بندید لااقل دامنه را ۱ کنید !! تا کی باید سهامداران حقیقی تقاص پس بدهند !! دست از ناراضی کردن مردم بردارید !! شما که غیرت ندارید و نمی فهمید که جنگ با دشمن است اما لااقل آزاده باشید !!"
"464627501,2026-07-17T06:50:47Z,1405/04/26 10:20,امیدوار,amita13899498,retwit,#شاخص_بورس 📌عزیزان دعا رو فراموش نکنید که معجزه ها میکنه\n\nدعا برای ظهور..\nدعا برای سلامتی ا م ام سید مجتبی خا منه ای..\nدعا برای پیروزی جبهه حق و نابودی باطل...\nدعا برای رزمندگانمون ، نیروهای نظامیمون که از جون خودشونو برای آرامش ما میگذرن\nدعا برای مردم با غیرتمون\nو .....\n\n✅دعا سلاح مومنه بخدا قسم چنان معجزاتی تا حالا بابت همین دعاها رخ داده که باورتون نمیشه و قطعا بعد گذشت این جریانات متوجه میشید\nپس حتما دعا کنید ، صدقه بدید که ب شدت اثر مثبت داره\n‌"
"464627586,2026-07-17T07:01:44Z,1405/04/26 10:31,مرتضی ا,morteza2024,twit,#سیلور \n\n........🧐..........قیمت جهانی نقره.........😎/😎...................."
"464627582,2026-07-17T07:01:07Z,1405/04/26 10:31,shahab .,hahab1542,quote,فککککککر نکنم ... یه عده چهل و هفت سال دعا کردن برا نابودی همه دنیا ولی الان که خودمون داریم نابود میشیم"
"464627576,2026-07-17T06:59:59Z,1405/04/26 10:29,ارش,toefl99,twit,#وبملت رفت قاطی باقالی ها"
"464627555,2026-07-17T06:56:12Z,1405/04/26 10:26,علی علی,zahrazahed,quote,کل ایران ۲۰ میلیون خودرو نیست چطور ۲۵ میلیون اسنپ کار میکنند؟؟؟؟"
"464627547,2026-07-17T06:55:53Z,1405/04/26 10:25,صبور بازار,mahmoud55,twit,#شاخص_بورس ارزش شرکت Tsmc  رو بررسی کنید یک شرکت تولید تراشه در تایوان است و حدود ۱۵۰۰ میلیارد دلار است. ارزش کل بورس ما هم ۸۵ میلیارد دلار است. کدام کشور ثروتمند هستیم"
