"464876132,2026-07-29T07:36:57Z,1405/05/07 11:06,بورس تهران,bayern8,twit,سپید هم خوب عمل کرده است  وهوای بهاری داشت \nدر تیر 48423 میلیاردریال فروش داشت \nدر فروردین 39137 میلیارد ریال فروش داشت و اردیبهشت  با رشد 50160 میلیارد ریال بود و خرداد  هم  50504 میلیارد ریال بود و 3 ماهه 139802 میلیارد ریال بود و 3 برابر مدت قبل است . 4 ماه 188147  میلیاردریال فروش داشت ."
"464876129,2026-07-29T07:36:55Z,1405/05/07 11:06,Tahlilgare1397,tahlilgar139702,quote,وگردش\n#وگردش \nامروز عصر کدال رو ببینید..."
"464876126,2026-07-29T07:36:52Z,1405/05/07 11:06,آلفا,alpham,quote,#کاما \nقسمت اول این پیام که تحقق یافته بود (بازگشایی با محدودیت دامنه)\nاینم قسمت دومش (صف خرید سنگین که سنگین تر از انتظاری که داشتیم هم شد)"
"464876111,2026-07-29T07:36:26Z,1405/05/07 11:06,rezapst,rezapst,twit,#وبملت در توییت های قبلیم خدمت عزیزان عرض کردم در کف این کانال در صورت حمایت میشه وارد شد اما با توجه به روند که مشاهده میشه و با وجود رشد شارپی که داشته و مقاومت روشکسته ولی بعدش بریک شده نشون از روند نزولی تا کف کانال داره و شاید باز بعضی ها بگن اییه یس میخونی اما در صورت از دست دادن کف ، الگوی وج نزولی تایید و اصلاح عمیق میکنه (مهم حفظ دارایی هست و بعد افزایش دارایی و سود اوری)"
"464876105,2026-07-29T07:36:17Z,1405/05/07 11:06,BetaModir,betamodir,twit,#عیار نرخ فدرال منجر به ریزش بیشتر اونس میشه."
"464876091,2026-07-29T07:36:06Z,1405/05/07 11:06,Saman hosseini,samaan4343,quote,مبارکه. شنبه باز صف خرید خواهید بود."
"464876087,2026-07-29T07:36:03Z,1405/05/07 11:06,نسیم ایرانشاهی,nasim16,twit,#وتجارت اگر یادتون باشه بانک رسالت زمان روحانی و ترامپ بازار همه سهمها منفی بودن فقط بانک رسالت مثبت بود ۱۰۰ تومن بود رسالت شد ۹۹۰۰ تومن ۹۰ برابر شد  تجارت با این سود نمیشه ترمزش را کشید تک ستاره بازار میشه تو هر شرایطی چه جنگ باشه چه صلح فرقی ندا هزاره یا علی میگه"
"464876082,2026-07-29T07:35:58Z,1405/05/07 11:05,Mehdi_R,your_friend,quote,دوستان لطفا یک لحظه به مدل پیام نوشتن و نوع استفاده از کلماتی که این شخص بکار میبره توجه کنید و کلاه خودتونو قاضی کنید، وقتی کسی تو بازار مالی که یه بازار کاملا جدی هستش و ضررهاش میتونه اثر بدی روی زندگی و روان افراد بذاره، اینطور با لودگی و سبک سری و کودکانه جمله بندی میکنه، با هر بار پست گذاشتنش و حرفای کاملا غیرمنطقیش که حتی نکات اولیه بازار که همون عدم قطعیت هستش رو هم رعایت نمیکنه و تا به الان نفهمیده و نشخوار ذهنیش احتمالا حرفای کانال های پکیج فروش عساتیغی هستش رو اینجا تراوش میکنه فقط و فقط باید گزارش تخلف براش میذاشتین که از این صفحه حذف بشه یا حداقل اصلا بهش توجه نمیکردین که احساس کنه آدم مهمیه و بخواد هر روز اینجا ولگردی کنه و با لوده بازی اینقدر زشت و بچگانه جواب این و اونو بده که حتی محیط تربیتیش هم شک برانگیز باشه،\nلطفا و خواهشا حداقل برای شخصیت و اعصاب و روان خودتون احترام قائل باشین و با این افراد به هیچ عنوان وارد بحث نشین\nیه مثالی هست که مفهومش اینه که کشتی گرفتن با خ و ک شمارو در ل ج ن غرق میکنه و آخر سر شما آلوده و بازنده میشن چون هم سطح اون شدین"
"464876073,2026-07-29T07:35:47Z,1405/05/07 11:05,احسان,ahsan2025,quote,#شتران \nاگر شتران با حدود 7 تا 10 درصد منفی بازگشائی بشه ،  گزینه مناسبی برای خرید است !!!\nشاید ."
"464876049,2026-07-29T07:35:04Z,1405/05/07 11:05,پارس الوند,alvand123,twit,#وپارس حقوقی خوب عمل کرد ایشالله تایید شه یه 3 درصد دیگه بگیریم."
