"458516272,2025-07-20T14:52:35Z,1404/04/29 18:22,محمد,fa68131368,retwit,#ثفارس \nتنها کسی که میتونه سهام دار رو از این شرایط نجات بده مهندس سلیمانیه \nتماس رو پاسخ گو نیستن ولی پیامک بدید پیام ها رو میخونه\nنیازی به فحش و بد بیراه نیست فقط مشکلاتتون رو بگید شاید دلش به رحم اومد \nیکی اجاره خونه داره یکی قسطاش عقب افتاده یکی شرمنده زن و بچه شه و ...\nاین شماره مهندسه ۰۹۱۳۲۹۰۸۴۵۲"
"458536783,2025-07-22T05:22:26Z,1404/04/31 08:52,Movahed9471,movahed9471,twit,#شتران \nسلطان شتران"
"458536763,2025-07-22T05:20:11Z,1404/04/31 08:50,محمد رضا فداکار,reza110,quote,تو عکس نظراتش رفتار کن"
"458536758,2025-07-22T05:20:00Z,1404/04/31 08:50,احمد شمس,ashin,quote,شما هم سود سهامتو ببخش ببانک"
"458536748,2025-07-22T05:19:50Z,1404/04/31 08:49,رضا فرخی,speedy,twit,#واحیا / رسیدیم به محل حمایت واحیا . درصف فروش نمانید ."
"458536735,2025-07-22T05:19:08Z,1404/04/31 08:49,تیمور یک پا ,professor1995,twit,#سصفها سصفهایی که من میشناسم یا امرپز یا فردا شفاف سازی را انجام میده و نماد یکشنبه باز نیشه یعنی کلا سه رپز کاری و اگر شفاف سازی مورد قبول سازمان قرار گیرد بدانید چه صفهایی خریدی تشکیل شود"
"458536731,2025-07-22T05:19:00Z,1404/04/31 08:49,کوجه لوتکا,shervinbn,quote,3 ماه از این کامنتت هم گذشت!!\n\nدقیقا با ورود دوکطور سالهی سهم به ... کشیده شد 😂😂"
"458536717,2025-07-22T05:18:13Z,1404/04/31 08:48,Erfan m2,erfanm2,quote,نکته قابل توجه ای هست\n#شاخص_بورس #فولاد #فملی"
"458536706,2025-07-22T05:17:19Z,1404/04/31 08:47,Pedarjepeto,piinokio,twit,#وسین  شخصا برداشتی که از مجمع سالیانه داشتم آقای رحیمی به شدت از وضعیت موجود عملکردی و قیمتی بیمه سینا ناراضی بودن و اگر این ناراحتی منجر به دستورات حمایتی و بهبود وضعیتی عملکردی و قیمت سهام داده شده  البته امیدوارم وضعیتی متفاوت دار شاهدش باشیم .علت برکناری  مدیر عامل هم چیزی که من برداشت کردم تخلفاتی که حسابرس دست گذاشته بود روش بود اولیش همون ۲۰ میایاردیکه به اسم مشاور هزینه شده بود و دومیش عدم واگذاری بیمه های پرسنلی  زیر مجموعه بنیاد به بیمه سینا .چون ظاهرا دستور داده بود مستقیما اینکار بایدتوسط شرکت انجام بشه و نباید شرکت به نمایندگی ها پولی پرداخت کنه وهزینه ای برای شرکت داشته باشه.و درست همهمینه .کاربرای بنیاد هست این وسط یک عده کارگذاری که معلوم نیست برای کدوم آقازاده ای است با لابگری میاد قرداد های  بنیاد را واسطه‌گری میکنه و این وسط کمیسیون های تپل میزنه بر بدن .تازه خیلی ساده. بخواهیم رد بشیم از موضوع مدیر عامل هم این وسط درصد ی گیرش میاد با سهل‌انگاری های عامدانه.دیدم  رحیمی از این موضوع را و تهدیدی که همون تو جلسه گفت یک تصمیماتی امروز خواهیم گرفت .حتی به مدیر عامل هم گوشزد کرد گفت قانونی تصویب شده شما باید اجرا میکردی.منظورم این نیست مدیر عامل درصدی گرفته گناه کسی را به گردن نمیگیرم فقط دلایلی که من  فهمیدم از برکناری مدیر عامل را بیان کردم ."
"458536697,2025-07-22T05:16:42Z,1404/04/31 08:46,امین,amin1343,twit,#وتجارت باتوجه به کاهش سود به احتمال زیاد بیشتر از ده درصد سود تقسیم نمیکنند یعنی حداکثر ۱۱ ریال مگر اینکه در مجمع سهامداران با ده درصد مخالفت کنند"
