"457968634,2025-06-02T05:03:53Z,1404/03/12 08:33,آشنا,ashena1359,quote,با توجه به روند سودآوری بانک شهر ، این قیمت سهم و جایگاه ، شایسته بانک شهر نیست و این بانک ، انشاالله ، در جایگاه والاتری قرار خواهد گرفت ."
"457968626,2025-06-02T05:03:40Z,1404/03/12 08:33,سونامی خاموش,sonami2616,twit,#دارو \nوضعیت رشد درآمد تجمعی تا انتهای اردیبهشت در گروه دارویی"
"457968622,2025-06-02T05:03:29Z,1404/03/12 08:33,خروس,ch09,twit,#دانا \nگفتن حقایق تعریف کردن از سهم نیست ضمنا جیگر میخام داشته باشه و بفروشه"
"457968619,2025-06-02T05:03:09Z,1404/03/12 08:33,r.a,atabak58,twit,#شاخص_بورس\nدولت ترامپ به شورای امنیت ملی و وزارت خزانه‌داری و وزارت امور خارجه دستور داده اقدام به اعمال تحریم‌های جدید علیه ایران متوقف شود.\n\nوال استریت ژورنال نوشته آیا ایران از کاخ سفید فرصتی به دست آورده است؟ هفته گذشته، کارولین لیویت، سخنگوی مطبوعاتی کاخ سفید، دستوری برای توقف تمام فعالیت‌های جدید تحریم‌ها علیه ایران صادر کرد. \n\nیک منبع نزدیک به کاخ سفید می‌گوید که کمپین «فشار حداکثری» رئیس‌جمهور ترامپ اکنون در حالت توقف قرار دارد."
"457968614,2025-06-02T05:02:42Z,1404/03/12 08:32,هیراد,geohiraad,twit,#شتران \nامروز خودرویی و پالایشی مثبت بسته میشه. \nشپنا ، خودرو"
"457968609,2025-06-02T05:02:24Z,1404/03/12 08:32,آنفیلد,anfield,twit,#خودرو تا میتونید فقط بخرید. حقوقی سر همه رو شیره مالیده . همرو درو کرده . هیچی نفروشید تا مجبور باشه بالا بخره"
"457968606,2025-06-02T05:02:18Z,1404/03/12 08:32,ALEN DELON,azadi1358,twit,#شاخص_بورس 🔻🔹\n\nرسانه آمریکایی از «توقف» تحریم‌های جدید ترامپ علیه ایران خبر داد\n\n🔺رسانه آمریکایی گزارش داد، با صدور دستور توقف تحریم‌های جدید علیه ایران، کاخ سفید سیاست شکست‌خورده فشار حداکثری را فعلاً متوقف کرده است.\n\n🔹این چرخش ناگهانی، نشانه‌ای از پذیرش ناکارآمدی تحریم‌ها تلقی می‌شود.\n\n🔺مقامات آمریکایی هنوز نمی‌دانند که دامنه این توقف تا چه حد است.\n\nتوافق_سیاسی \nخلیج_همیشه_فارس\n@PershianGolf_ir"
"457968599,2025-06-02T05:01:53Z,1404/03/12 08:31, علیزاده,mr17981,quote,چه فایده\nاصلا بهترین شرکت\nاما در تقسیم سود و قیمت پایین سهم، بدترین شرکت میتونه باشه\nآیا میدانستید ،سهامدار بودن یعنی فقرو فلاکت و خسران؟\nکاش میدانستیم و سهامدار نمیشدیم"
"457968591,2025-06-02T05:01:07Z,1404/03/12 08:31,Azadi,azaddddi,twit,#خاور مثبت امروز جای خرید نیست.نظر شخصی هستش.اون نامه فعلا حرکت سهم رو عقب تر انداخت و نیاز به زمان داره.بنظر من سهم در بهترین حالت  تا ۱۵۰ میاد پایین."
"457968588,2025-06-02T05:01:03Z,1404/03/12 08:31,آنفیلد,anfield,twit,#خودرو خودرو صف خرید تا 700 بعد اصلاح ریز و دوباره صف خرید تا 900"
