"462191438,2026-02-11T05:53:48Z,1404/11/22 09:23,م ح م د,felafel,twit,#آلومینا  محدوده ۱۲۵۰۰ الی ۱۳۱۰۰ مقاومت سختی داره و احتمال برگشت دوباره به ۱۱۰۰۰ زیاده"
"462191433,2026-02-11T05:53:11Z,1404/11/22 09:23,علی,ghadamyariali,twit,#شاخص_بورس \nبرین راهپیمایی"
"462191421,2026-02-11T05:51:21Z,1404/11/22 09:21,سلام پهلوون,deta12,twit,ریسک‌های سیاسی در برابر ارزندگی سهام ؛ ابهام مذاکرات ، بورس را وارد فاز سردرگمی کرد ..........\nhttps://www.boursenews.ir/fa/news/303594/%D8%A7%D8%A8%D9%87%D8%A7%D9%85-%D9%85%D8%B0%D8%A7%DA%A9%D8%B1%D8%A7%D8%AA-%D8%A8%D9%88%D8%B1%D8%B3-%D8%B1%D8%A7-%D9%88%D8%A7%D8%B1%D8%AF-%D9%81%D8%A7%D8%B2-%D8%B3%D8%B1%D8%AF%D8%B1%DA%AF%D9%85%DB%8C-%DA%A9%D8%B1%D8%AF"
"462191372,2026-02-11T05:45:10Z,1404/11/22 09:15,م ح م د,felafel,twit,#خساپا این دور لوکوموتیو پیشران شاخص بورس خودرویی ها خواهند بود."
"462191355,2026-02-11T05:44:39Z,1404/11/22 09:14,Ali b,sahmshenas87,quote,شما تو سایت دیگه ای هم همین حرف رو زدید.امیدوارم روز بازگشایی دلیت اکانت نکنید"
"462187510,2026-02-10T19:31:55Z,1404/11/21 23:01,farzad18,farzad18,retwit,#شاخص_بورس #عیار \nواقعیت اینه هم امریکا هم جمهو.ری اسلامی خودشون رو برای جنگ دارن اماده میکنن و دیدشون به جنگ یه نبرد کوتاه مدت و صرفا وارد کردن تلفات به یکدیگر هس اون سمت با خودشون میگن فوقش ۵ تا کشته میدیم این سمت هم با خودشون میگن فوقش ۵۰۰۰ نفرمون میمیرن\nولی درنهایت تغییر خاصی ایجاد نخواد شد و فقط کشور مستهلک تر میشه"
"462191334,2026-02-11T05:39:07Z,1404/11/22 09:09,علی مهری,mehriyab,twit,#بکام مهلت استفاده از حق تقدم خرید سهام /لغایت تاریخ 1404/12/۲۰\nآموزش واریز مبلغ حق تقدم (پذیره‌نویسی حق تقدم) برای تبدیل به سهام اصلی در سایت جدید دارا با آدرس جدید dara.csdiran منتقل شده است. برای آشنایی با روش پرداخت در دارا فیلم زیر کمکتون می‌کنه\n\nhttps://www.aparat.com/v/apgs91a"
"462191291,2026-02-11T05:32:54Z,1404/11/22 09:02,سرمایه ابلهانه 2 ـ ,fardinshafieeha,twit,#شاخص_بورس تخریب نمادین رژی.م گذشته در گفتمان رسمی، بیشتر یک ابزار سیاسی برای مشروعیت‌سازی، انسجام‌دهی و کنترل روایت تاریخی است. این امر زمانی تشدید می‌شود که نظام در پاسخگویی به نیازهای کنونی با چالش مواجه باشد. پرسش اصلی شهروندان آگاه این نیست که «گذشته خوب بود یا بد؟»، بلکه این است: «با وجود تمام انتقادها از گذشته، آیا وضعیت امروز در مقایسه با منابع و فرصت‌های موجود، قابل قبول و عادلانه است؟»\nوقتی پاسخ به این پرسش در عمل منفی باشد، ت.خریب گذشته اثر معکوس خواهد داشت و حسرت نسبت به آن را بیشتر می‌کند. از طرفی تمایل جوانان به گذشته(حتی به اشتباه) افزایش می یابد"
"462191273,2026-02-11T05:30:32Z,1404/11/22 09:00,Sam Fisher,abolfazl3040,quote,#شاخص_بورس \n۴۷ سالگی پیروزی انقلاب رو جشن می گیریم!\nدر این ۴۷ سال چگونه بودیم؟\nدر این ۴۷ سال مردم طعم رفاه و آسایش رو تجربه کردند؟\nدر این ۴۷ سال موفق بودیم؟\nدر این ۴۷ سال چه چیزی بدست آوردیم؟\n\nبقول شاعر میگه رنگ رخساره خبر میدهد از سر درون!\n\n۴۷ سال گذشت ..."
"462189364,2026-02-10T21:42:03Z,1404/11/22 01:12,پویان,pouyan97,retwit,#شاخص_بورس سال۹۸ پژو ۴۰۵ داشتم ده سال کارکرد فروختم ۳۵ تومان فکر کنم هنوز رشد ۹۹ شروع نشده بود اون موقع یه سهمی بود دارویی بود ۵ برابر رشد کرده قیمت تعدیل شده ش بود ۲۲۰۰ تومن می‌تونستم تقریبا ۱۶۰۰۰ تا بخرم ازش، \nالان قیمت ۴۰۵ ده سال کارکرد میانگین ۷۳۰میلیون هست قیمت تعدیل شده  اون سهم الان هست  ۵۵۰ تومن  میتونم تقریبا ۱میلیون سیصد هزار سهم بخرم، اون سهم سیصد درصد افزایش سرمایه داشته به عبارتی اگر سهم. رو نگه داشته بودم تعداد سهام ۴۸۰۰۰ تا بود\nیعنی یه ماشین ۴۰۵ الان بفروشم ۲۸ برابر بیشتر از سال ۹۸ میتونم از اون سهم بگیرم به عبارتی ۲۸ برابر عقب افتاده از قیمت مونده از قیمت ماشین اون موقع ، تازه ۵ برابر شده بود اونموقع\nیعنی خاک دو عالم سرتون😁 "
