"458272234,2025-06-28T05:06:35Z,1404/04/07 08:36,   ,sara12345,twit,#شاخص_بورس ....الان که در جنگ پیروز شدیم بهانه ای برای منفی شدن نیست"
"458272226,2025-06-28T05:05:59Z,1404/04/07 08:35,شهریار,a.sh.k,twit,#فزر امروز در پایان وقت صف خریده"
"458272217,2025-06-28T05:05:27Z,1404/04/07 08:35,VafaieD,kia110,quote,همین سرباز یادش نبود زمانی که بچه های وطن رو داشتن توی خیابون تیکه پاره میکردن ،با حجاب و بی حجاب ، همسو با ج.ا یا مقابل ج.ا ، مسلمان و غیر مسلمان همه ایرانی هستن و باید دفاع کنه ازشون؟؟؟"
"458272195,2025-06-28T05:02:40Z,1404/04/07 08:32,m.m.s,m.m.s,quote,جنگ روانیه"
"458272191,2025-06-28T05:02:29Z,1404/04/07 08:32,Skynet,skynet666,twit,#شاخص_بورس از من به شما نصیحت تو شرایط جنگی فقط تا تونستید بفروشید یه مثبت میزنن برای خروج خودشون بعد میشه حمام خون هر وقت اروم شد وقت هست مگه اینکه تو ضرر سنگین باشید و اون سرمایه رو نخواید الانم صلح نشده الان اتش بس برای تجدید قوای دو طرف هست"
"458272186,2025-06-28T05:02:03Z,1404/04/07 08:32,رها نیلفروش زاده,nilforoushzade,quote,#حفاری این گزارش چه ربطی به تیر ماه داره؟"
"458272175,2025-06-28T05:01:21Z,1404/04/07 08:31,علی عالی,ali26792,twit,#سصفها  سیمان اصفهان با ساخت سیمان های فوق پیشرفته خود مراکز غنی سازی را مجددا خواهد ساخت"
"458272171,2025-06-28T05:01:07Z,1404/04/07 08:31,ساحل ارام,qzsexdrcft,quote,پیام نوسانگیر"
"458272163,2025-06-28T05:00:25Z,1404/04/07 08:30,ریسک,mahmood40,twit,#شاخص_بورس قطعا باید این هفته منفی باشه"
"458272159,2025-06-28T04:59:43Z,1404/04/07 08:29,سید مصطفی,sm07324,twit,#عیار \n🔻برنامه اسراییییل برای ادامه حملات هوایی بر ایران \nا وزیر دفاع اسرایییل به ارتش اسرایییل دستور آماده سازی نقشه عملیاتی علیه ایران را داده است تا سلطه هوایی اسراییییل بر آسمان ایران حفظ شده، جلوی پیشرفت هسته ای و تولید موشکی گرفته شود و به حمایت های ایران از گروه ها علیه اسراییییل پاسخ داده شود.\n\n🔹او ادعا می کند ما به طور مداوم علیه این تهدیدات عمل خواهیم کرد.\n\n. \n\n\n\nفرار کنید از بورررس"
