"459904681,2025-10-23T05:15:45Z,1404/08/01 08:45,ثجوان برای جوانان,omid55,twit,#ثجوان \nاحتمال اجرای دامنه نوسان نامتقارن\nاین عضو شورای عالی بورس همچنین از بررسی دامنه نوسان نامتقارن خبر داد و افزود:\n\n«ممکن است در برخی شرایط دامنه نوسان به‌صورت نامتقارن (مثلاً ۷ درصد مثبت و ۳ درصد منفی) اعمال شود تا ریسک بازار کنترل شود.»\nبه تمامی سهامداران نماد ثجوان بخاطر تعدیل مثبت ۶۱۸ درصدی سود این نماد تبریک عرض می کنم.\nباشد که در روزهای آینده ثمره صبر و شکیبایی خود را برداشت کنید🌸❤️🎊🦬"
"459904663,2025-10-23T05:14:08Z,1404/08/01 08:44,علی Predator,ali1ok,twit,#پتایر   افتتاح فاز نخست طرح توسعه ایران تایر سمنان با سرمایه‌گذاری ۱۲ هزار میلیارد ریالی\nhttps://www.bourse24.ir/news/322381\n"
"459904653,2025-10-23T05:12:18Z,1404/08/01 08:42,Ghaderi99,ghaderi99,twit,#چنوپا \nهم‌مووینگ پس گرفته شده\n\nهم خط روند شکسته شد"
"459904638,2025-10-23T05:10:49Z,1404/08/01 08:40,asad,asad_asadi20,quote,اگه قیمت به محدوده مهم برسه اون محدوده تصمیم گرفته خواهد شد برای صعود یا ادامه نزول(دیدگاه شخصی ، نه سیگنال معاملاتی)"
"459904635,2025-10-23T05:10:36Z,1404/08/01 08:40,تازه وارد,mm1376,twit,#شگستر:\nتحقق سود خالص 217 میلیاردی در 6‌ماهه 404"
"459904617,2025-10-23T05:07:42Z,1404/08/01 08:37,علی Predator,ali1ok,twit,#پتایر \nhttps://lastikpress.com/%D8%A8%D9%87%D8%B1%D9%87%D8%A8%D8%B1%D8%AF%D8%A7%D8%B1%DB%8C-%D8%A7%D8%B2-%D9%81%D8%A7%D8%B2-%D9%86%D8%AE%D8%B3%D8%AA-%DA%A9%D8%A7%D8%B1%D8%AE%D8%A7%D9%86%D9%87-%D8%A7%DB%8C%D8%B1%D8%A7/"
"459904572,2025-10-23T05:02:06Z,1404/08/01 08:32,Ali. B,ali.balaghi1399,quote,ربطی نداره\nبه محض اینکه قیمت بنزین افزایش پیدا کنه همه جنسای بازار چندین برابر گرون میشن . \nمثل سری قبل که قیمتا تا حد باور نکردنی رفت بالا\nاول باید به فکر اقتصاد خانوارها بود بعدا افزایش قیمت بنزین که متاسفانه آقایون یا درگیر خرید سیسمونی هستن یا عروسی دخترشون \nو سفره مردم اولویتی براشون نداره"
"459904569,2025-10-23T05:01:46Z,1404/08/01 08:31,محسن,moh70,twit,#وگردش \nشاید یه عده بهشون بر بخوره ولی اگر کسی سهامدار واقعی این سهم بوده قشنگ متوجه میشه دارم چی میگم"
"459904552,2025-10-23T04:59:54Z,1404/08/01 08:29,محسن,moh70,twit,#وگردش \nهمیت دیروز قصد اضافه کردن داشتیم ولی صبر کردیم چرا چون از گذشته سهم نگران بودیم چون دوسال هر روز خودمون رو نفرین کردیم با این وگردش حالا چجوری  تو دوماه بتونیم اثرات دوسال رو از بین ببریم \nحالا نگاه نکنید دوستان میان مدام از سهم تعریف می‌کنند سهامدار واقعی روزهای خیلی سختی رو در این سهم طی کرده \nچه روزهایمان با غصه این سهم شب شد ....."
"459897914,2025-10-22T15:24:45Z,1404/07/30 18:54,نوین بورس,karbar1384,retwit,#خساپا \nبعد از افشاء اطلاعات گروه الف افزایش نرخ ۲۵ درصدی  ،گزارش عملکرد۶ماهه کاهش زیان ۱۹ درصدی منتشر شد \n کاهش زیان ۱۹ درصدی ۶ماهه نسبت به مدت مشابه سال۱۴۰۳.\n وافزایش ۲۵درصدی نرخ محصولات پرفروش #خساپا\n\nنوید بخش بازگشایی  عالی خواهد بود"
